" İÇERİK"," SINIF"
" Hah, neyse şu youtube kanalına bir bak: kobyoshi02","1"
" Hey millet yeni kanalıma ve ilk videomuza bakın BU BİZ MAYMUNLARIZ!!! Ben beyaz gömlekli maymunum, lütfen beğenin ve yorum yapın ve lütfen abone olun!!!!","1"
" sadece test amaçlı murdev.com demek zorundayım","1"
" Kanalımda seksi kıçımı sallıyorum keyfini çıkarın ^_^","1"
" watch?v=vtaRGgvGtWQ Şuna bir bakın.﻿","1"
"Hey, yeni websitemi kontrol et!! Bu site çocuklarla ilgili şeyler hakkında. kidsmediausa.com","1"
" Kanalıma abone olun","1"
" Açtığım anda sessize aldım, sadece görüntülenme sayısına bakmak istedim...﻿","0"
" Komik VİDEOLAR için kanalımı kontrol etmelisiniz!!﻿","1"
" ve sen benim kanalımı kontrol etmelisin ve bana bundan sonra ne yapmam gerektiğini söylemelisin!","1"
" Hey bana abone ol","1"
"Okumaya başladıktan sonra durmayın. Bir gün içinde bana abone olmazsanız siz ve tüm aileniz öleceksiniz, bu yüzden hayatta kalmak istiyorsanız hemen abone olun.","1"
" https://twitter.com/GBphotographyGB﻿","1"
" abone ol beğen yorum yap","1"
" lütfen beğenin :D https://premium.easypromosapp.com/voteme/19924/616375350﻿","1"
"Merhaba! Oyun, sanat videoları, bilimsel deneyler, eğitim videoları, şarkı sözü videoları ve daha fazlasını sever misiniz? Eğer seviyorsanız lütfen kanalımıza göz atın ve abone olun, daha yeni başladık ancak yakında tüm beklentilerinizi karşılayabileceğimizi umuyoruz... Ayrıca şu ana kadar neler yaptığımıza da göz atabilirsiniz!﻿","1"
" Sadece görüşleri kontrol ediyorum","0"
" http://www.ebay.com/itm/171183229277?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿","1"
" http://ubuntuone.com/40beUutVu2ZKxK4uTgPZ8K﻿","1"
"Size müzikten ilham alan tasarımlar sunmaya adanmış bir EDM giyim şirketiyiz. Giysilerimiz her türlü rave veya müzik festivali için mükemmeldir. NEON kısa üstler, atlet üstler, tişörtler, V yakalar ve aksesuarlarımız var! Ücretsiz hediyeler, haberler ve daha fazlası için bizi Facebook'ta veya instagram'da takip edin!! sitemizi OnCueApparel adresinden ziyaret edin","1"
" Sanırım görüntülemelerin yaklaşık 100 milyonu sadece görüntülemeleri kontrol etmek isteyen kişilerden geliyor","0"
" kanalıma abone olun millet :D","1"
" AUBURN GURURUNUZU BURADA GÖSTERİN: http://www.teespring.com/tigermeathoodie﻿","1"
" sadece görüşleri kontrol ediyorum","0"
"KANALIMA GÖZ ATIN","1"
" marketglory.com/strategygame/andrijamatf oyundan gerçek para kazanın","1"
" Hey millet! 12 yaşında bir müzik yapımcısıyım. Chiptune ve 8bit müzik yapıyorum. 8bit remikslerimden bazılarını kontrol ederseniz harika olur! Hatta isterseniz bir gangnamstyle 8bit remiksim bile var ;) Teşekkürler!!","1"
" Bana bak! Ben Kyle'ım. Rap yapıyorum, evet","1"
" Artık izlemiyorum bile, sadece 2 Milyar olup olmadığını kontrol etmeye geliyorum","0"
" Ücretsiz Android oyunları, uygulamaları için bana abone olun..","1"
" herkes lütfen Martin Luther King Jr. anısına en yeni şarkımızı dinlemeye gelsin.","1"
" Manzarayı görmeye geldim, hoşça kalın.","0"
" sebepsiz yere kanalıma abone ol -_-﻿","1"
" Fruity Loops ile yaptığım dubstep şarkım ""Fireball""a bir göz atın. Gerçekten üzerinde zaman harcadım. /watch?v=telOA6RIO8o﻿","1"
" 2 milyar....Yakında﻿","0"
" Dafuq neden ABD'de bu kadar popüler bir Kore şarkısı? Bu Korelileri desteklediğimiz anlamına mı geliyor? Son kontrol ettiğimde bizi bombalamak istiyorlardı.","0"
" Lütfen kanalıma göz atın! Ve şimdiye kadarki en iyi müziği dinleyin :P﻿","1"
" ALT 4 ALT LÜTFEN BU YORUMU BEĞENİN BAŞARILI BİR YOUTUBE İSTİYORUM BU YÜZDEN LÜTFEN BU YORUMU BEĞENİN VE ABONE OLUN SADECE 10 SANİYE SÜRECEK LÜTFEN ABONE OLURSANIZ BEN DE ABONE OLURUM TEŞEKKÜRLER","1"
" Herkese merhaba!! İlk YT kanalımı yeni açtım, eğer sizlerden bazıları BF4'teki ilk klibime göz atarsa ve videomun nasıl olduğu ve onu nasıl geliştirebileceğim konusunda bana tavsiyelerde bulunursa minnettar olurum. AYRICA ne hakkında olduğumu görmek için hakkında kısmına göz atmayı unutmayın. Zaman ayırdığınız için teşekkürler :) . ve nefret edenlere... Siz Nefret Edin, BEN KAZANDIM","1"
"After Effects, Müzik, Foto, Web siteleri ve daha fazlasını burada bulabilir ve satın alabilirsiniz http://audiojungle.net/user/EugeneKalinin/portfolio?ref=EugeneKalinin﻿","1"
" Harika videolar için YouTube/codytolleson'a tekrar abone olacağım","1"
" Eğer roblox minecraft world of warcraft gta5 mario'yu seviyorsanız kanalıma abone olun","1"
" BANA ABONE OLUN, BEN DE SİZE ABONE OLAYIM! (Beğenmeniz şart - cZFcxsn0jnQ)","1"
" http://www.twitch.tv/jaroadc gelip yayınımı izleyin!﻿","1"
"Eğer ham yetenek, ham sözler ve gerçek hip hop'tan hoşlanıyorsanız Herkes en yeni sesimi kontrol etsin Dizzy X - Got the Juice (Prod by. Drugs the Model Citizen) YORUM BANA NE DÜŞÜNDÜĞÜNÜ SÖYLE TEMBEL OLMAYIN!!!! - 1/7 Prophetz﻿","1"
" ....abone ol...... ......kanalıma......","1"
" şu anda 1.884.034.783 görüntülenme! lütfen bir sonraki saatteki görüntülenme sayısını yorum olarak yazın :P﻿","0"
" http://www.avaaz.org/po/petition/Youtube_Corporation_Fox_Broadcasting_Company_Anular_os_strikes_no_Canal_Nostalgia/?cXPZpgb ﻿","1"
" görüşleri kontrol etmek için buraya gidin :3﻿","0"
"Bu videoyu kaç kez görüntülendiğini görmek için kontrol ettiyseniz, beğenin","0"
" Lütfen kanalıma abone olun ve ben de size abone olacağım xx","1"
" 2x10^9 görüntülemeye ulaşmak için sık sık geri dönüyorum ve Baby'yi izlemekten kaçınıyorum","0"
" Bu videonun 2 milyara ulaşmasının tek nedeni, insanların 2 milyara ulaşıp ulaşmadığını kontrol etmesi.","0"
" https://www.facebook.com/pages/Brew-Crew-2014/134470083389909 Bu facebook sayfasını beğenin! Iphone 5S kazanma şansı!﻿","1"
"GWAR'ın 2015 Super Bowl'da oynamasını sağlayın http://www.change.org/petitions/the-national-football-league-allow-gwar-to-perform-the-2015-super-bowl-halftime-show#share ﻿","1"
" Lütfen bu kanalı takip edin!! http://www.twitch.tv/sevadus﻿","1"
" Merhaba arkadaşlar youtube kanalıma göz atın","1"
" Daha fazla Minecraft nasıl yapılır videosu için abone olun ve beni beğenin!﻿","1"
" http://tankionline.com#friend=cd92db3f4 harika bir oyun, mutlaka bakın!﻿","1"
" Bana abone ol!﻿","1"
" Sadece ne kadar görüntülenme aldığını kontrol etmek için girdim","0"
" İlk yorum açıkça chuck norrus :D","0"
" İşte YouTube tarihinin en çok izlenen videosu","0"
" bu ne zaman 2 milyara ulaşacak?","0"
" Tüm zamanların en çok izlenen youtube videosu hangisi?","0"
" 969.210 beğenmeme kendilerini beğenmeme gibi","0"
" psy=korece","0"
"Aman Tanrım bu oldspice sprey bronzluk partisi reklamı aman Tanrım... burada oturuyorum ""HAYIR bu gerçek bir şey değil, değil mi? Aman Tanrım""","0"
" Bu, YouTube'da bu kadar çok izlenme alan tek videodur, çünkü ne kadar izlendiğini görmek istiyoruz. Her gün 1.000.000, yani çoğu insan bir videonun gerçekten 1.000.000 izlenme aldığında popüler olduğunu düşünür.","0"
